item,projeto_id_fiotec,titulo_projeto,objetivo_geral,coordenador_geral,coordenacao,numero_processo,tipo_instrumento_contratual,parceiro,categoria_teds,numero_instrumento_contratual,natureza_projeto,data_inicio_vigencia,data_fim_vigencia,eixo_mapa_estrategico_fiocruz,valor_total_projetos,recurso_liberado,recurso_a_receber,total_realizado,total_comprometido,saldo_total_atual,saldo_calculado,diferenca_saldo,percentual_realizado_sobre_liberado,percentual_receber_sobre_total
83,GEREB-020-FIO-25,O Saber E O Fazer Dos Agentes Populares Em Saúde Do Campo No Distritofederal,"Promover A Saúde No Campo Por Meio Da Formação-Ação De Agentes Populares Em Saúde Do Campo (Apsc) Com Ênfase Na Discussão Dos Sistemas Alimentares E Seus Impactos Na Saúde Das Populações Do Campo, Para Atuarem Como Multiplicadores Nos Territórios Da Reforma Agrária No Estado Do Df.",André Luiz Dutra Fenner,PSAT,25027.000301/2024-41,EMENDA PARLAMENTAR,DEP. ERIKA KOKAY,,28260001,Ensino,2025-03-12,2026-09-12,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",450000.00,99853.35,353635.00,94143.66,1331.86,4377.83,4377.83,0.00,94.28,78.59
84,GEREB-019-FIO-25,"Estratégias De Educação E Pesquisa Para A Gestão Em Saúde Mental, Álcool E Outras Drogas","Apoiar A Implementação De Estratégias De Pesquisa E Educação Para A Qualificação Da Gestão E Da Atenção No Âmbito Da Política Nacional De Saúde Mental, Álcool E Outras Drogas Na Rede De Atenção Psicossocial, Por Meio Da Realização De Um Censo, Supervisão Institucional E Apoio Técnico.",André Vinícius Pires Guerrero,NUSMAD,25027.000535/2024-99,TED,MINISTÉRIO DA SAÚDE,TED MS,116/2024,Ensino,2024-12-09,2026-12-09,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",48080942.73,32352873.44,17404942.73,15098261.72,6417390.55,10837221.17,10837221.17,0.00,46.67,36.20
85,GEREB-022-FIO-25,Projeto De Desenvolvimento Institucional Da Fiocruz Brasília - Pidi Ii,"Desenvolver E Implementar Ações Para Aumentar A Eficiência E Efetividade Da Gestão Institucional, Promovendo A Inovação Na Gestão E O Aumento Do Impacto Das Atividades Da Fiocruz Brasília Para A Comunidade Da Fiocruz, Para O Governo E Para A Sociedade.",Juliana Bezerra De Souza,GESTÃO,25027.000037/2025-27,LOA,LOA,,19/2025,Desenvolvimento Institucional,2025-04-24,2027-04-24,"Ciência, Tecnologia, Saúde E Sociedade",1000000.00,9077.60,993199.97,-7000.00,99500.00,-83422.40,-83422.40,0.00,-77.11,99.32
86,GEREB-023-FEX-25,Institucionalização Do Uso De Evidências Para A Política Nacional De Promoção Da Saúde (Pnps) - Revisões Rápidas E Desenvolvimento De Competências,Apoiar O Fortalecimento Da Capacidade Institucional Do Ministério Da Saúde Para A Incorporação De Ferramentas De Tradução Do Conhecimento Voltados Para A Promoção Da Saúde.,Jorge Otávio Maia Barreto,COLABORATÓRIO,25027.000436/2024-15,CARTA ACORDO,OPAS,,SCON2025-00031,Extensão,2025-04-18,2027-04-16,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",500000.00,459200.00,40800.00,412420.00,18500.00,28280.00,28280.00,0.00,89.81,8.16
87,GEREB-024-FEX-25,Vigilância Popular No Cotidiano Da Atenção À Saúde Nos Territórios: Formação De Agentes Comunitários De Saúde E Produção De Conexões Em Linhas De Cuidado Em Agravos Prioritários No Estado Do Rio Grande Do Sul (Saúde Prá Gente),"Desenvolver O Trabalho De Vigilância Comunitária Realizado Pelos Agentes Comunitários De Saúde E Agentes Comunitários De Endemias Do Estado Do Rio Grande Do Sul E Desenvolver Tecnologias E Metodologias Para Produzir Inovações Na Atenção Básica Em Saúde Por Meio De Conexões Entre Educação, Trabalho E Participação Social Nos Territórios",Osvaldo Peralta Bonetti,ANGICOS,25027.000504/2024-38,CONVÊNIO PD&I,GRUPO HOSPITALAR CONCEIÇÃO-GHC,,001/2025,Extensão,2025-05-28,2028-05-28,Inovação E Complexo Produtivo Em Saúde,12630885.00,0.00,12630885.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
88,GEREB-026-FIO-25,"Apoio E Fomento Às Ações De Formação E Pesquisa, Visando A Qualificação E Educação Permanente Dos Profissionais Do Sistema Único De Saúde.","Implementar Ações De Apoio À Formação Profissional Dos Trabalhadores Do Sus, De Forma A Contribuir Para A Promoção, Fomento E Execução Das Políticas De Educação Permanente E De Comunicação No Campo Da Gestão Do Trabalho E Educação Na Saúde, Que, Articuladas Com Iniciativas De Pesquisa E Cooperação Internacional, Resultem Em Inovação E Melhoria Contínua Dos Processos Formativos.",Luciana Rezende Da Silva Garcez,UNASUS,25027.000169/2025-59,TED,MINISTÉRIO DA SAÚDE,TED MS,148/2024,Ensino,2025-07-31,2029-01-31,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",34365486.00,12861590.76,22010104.53,4041153.97,270290.10,8550146.69,8550146.69,0.00,31.42,64.05
89,GEREB-025-FEX-25,Diálogos Sobre Economia Solidária (Des) Para A Promoção De Territórios Saudáveis E Sustentáveis No Distrito Federal/Df.,"Desenvolver Ações Estratégias De Empoderamento Social Para O Fortalecimento Da Governança, Gestão Dos Territórios E Fomento Na Geração De Trabalho E Renda No Df.",Wagner De Jesus Martins,COLABORATÓRIO,25027.000048/2023-45,CONVÊNIO PD&I,INSTITUTO BRB,,209/2023,Pesquisa,2025-07-03,2027-07-03,"Ciência, Tecnologia, Saúde E Sociedade",380000.00,201164.81,190000.00,158119.78,22050.00,20995.03,20995.03,0.00,78.60,50.00
90,GEREB-027-FIO-25,Apoio Para A Gestão Do Trabalho E Da Educação Na Saúde No Município De Rio Grande/Rs,"Ofertar Apoio Aos Processos De Gestão Do Trabalho E Da Educação Na Saúde Do Município De Rio Grande, Contribuindo Com A Qualificação E Direcionamento De Processos De Trabalho E De Produção Do Cuidado",Osvaldo Peralta Bonetti,ANGICOS,25027.000134/2025-10,EMENDA PARLAMENTAR,DEP. ALEXANDRE LINDENMEYER,,42950012,Ensino,2025-09-16,2028-03-16,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",1500000.00,1232180.19,315000.00,595128.03,213000.00,424052.16,424052.16,0.00,48.30,21.00
91,GEREB-029-FIO-25,"Fortalecimento De Ações Estruturantes Voltadas À Promoção De Direitos, Sustentabilidade, Justiça Social E Enfrentamento Ao Racismo Religioso, Para Os Povos E Comunidades Tradicionais De Terreiro E De Matriz Africana","Fortalecer Ações Estruturantes Voltadas À Promoção De Direitos, Sustentabilidade, Justiça Social E Enfrentamento Ao Racismo Religioso, Para Os Povos E Comunidades Tradicionais De Terreiro E De Matriz Africana.",Valber Da Silva Frutuoso,PALIN,25027.000225/2025-55,TED,MINISTÉRIO DA IGUALDADE RACIAL,TED MIR,06/2025,Extensão,2025-10-13,2027-05-13,Saúde E Sustentabilidade Socioambiental,5056750.00,3875078.47,1299181.00,3530300.19,698914.35,-354136.07,-354136.07,0.00,91.10,25.69
92,GEREB-028-FIO-25,Fortalecimento Das Políticas Públicas Junto Às Comunidades Quilombolas No Âmbito Do Programa Aquilomba Brasil,"Acompanhar, Monitorar E Qualificar As Políticas Públicas Junto Às Comunidades Quilombolas No Ámbito Do Programa Aquilomba Brasil.",Raphael Alexandre Henriques Patrício,PALIN,25027.000235/2025-91,TED,MINISTÉRIO DA IGUALDADE RACIAL,TED MIR,08/2025,Extensão,2025-10-13,2027-04-13,Saúde E Sustentabilidade Socioambiental,2074800.00,2067089.23,89599.77,1717309.30,333230.69,16549.24,16549.24,0.00,83.08,4.32
93,GEREB-030-FIO-25,"Fortalecer A Implementação De Estratégias De Promoção, Prevenção E Diagnóstico Para Hiv/Aids, Tuberculose, Micoses Endêmicas, Hepatites Virais E Ist, Nas Três Instâncias De Gestão Do Sus, Alinhadas À Equidade, Visando À Resiliência E À Sustentabilidade Da Resposta Nacional","Fortalecer, De Forma Integrada E Articulada Entre Os Níveis Federal, Estadual E Municipal Do Sus, A Implementação De Estratégias De Promoção Da Saúde, Prevenção E Diagnóstico Oportuno Do Hiv/Aids, Tuberculose, Micoses Endêmicas, Hepatites Virais E Outras Infecções Sexualmente Transmissíveis, Com Foco Na Equidade, Na Redução Das Vulnerabilidades E Na Consolidação De Uma Resposta Nacional Resiliente E Sustentável.",Noely Fabiana Oliveira De Moura,NEVS,25027.000155/2025-35,TED,MINISTÉRIO DA SAÚDE,TED MS,018/2025,Extensão,2025-10-21,2030-10-21,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",40000000.00,6300643.32,34000000.00,1509812.56,2175035.00,2615795.76,2615795.76,0.00,23.96,85.00
94,GEREB-011-FIO-25,"Promover O Protagonismo Das Mulheres Do Campo, Das Águas E Das Florestas","Desenvolver Iniciativas Que Promovam A Participação Social, O Combate Às Violências E A Melhoria Da Qualidade De Vida Das Mulheres O Campo, Das Florestas E Das Águas",Osvaldo Peralta Bonetti,ANGICOS,25027.000430/2025-11,DISPENSA DE TED,MINISTÉRIO DAS MULHERES,,34/2025,Ensino,2025-12-30,2026-10-30,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",234000.00,246589.71,0.00,117033.60,0.00,129556.11,129556.11,0.00,47.46,0.00
95,GEREB-032-FIO-25,"Desenvolvimento De Ações De Apoio À Implementação, Qualificação E Fortalecimento De Políticas, Programas E Ações De Segurança Alimentar E Nutricional, No Contexto Das Mudanças Climáticas","Desenvolver Ações De Apoio À Implementação, Qualificação E Fortalecimento De Políticas, Programas E Ações Relacionadas À Segurança Alimentar E Nutricional, No Contexto Condição Das Mudanças Climáticas.",Denise Oliveira e Silva,PALIN,25027.000473/2025-04,TED,"MINISTÉRIO DO DESENVOLVIMENTO E ASSISTÊNCIA SOCIAL, FAMÍLIA E COMBATE À FOME",TED MDS,013/2025,Pesquisa,2025-11-18,2027-11-18,Saúde E Sustentabilidade Socioambiental,5990000.00,3013431.41,3094000.00,2303664.64,1019533.25,-309766.48,-309766.48,0.00,76.45,51.65
